date,dxy
2005-10-19,85.3512
2005-10-20,85.2901
2005-10-21,85.6299
2005-10-24,85.502
2005-10-25,84.8186
2005-10-26,84.9022
2005-10-27,84.5787
2005-10-28,84.999
2005-10-31,85.4842
2005-11-01,85.4855
2005-11-02,85.3626
2005-11-03,85.7306
2005-11-04,86.3705
2005-11-07,86.599
2005-11-08,86.556
2005-11-09,86.6319
2005-11-10,86.7609
2005-11-11,86.7609
2005-11-14,87.3333
2005-11-15,87.2089
2005-11-16,87.349
2005-11-17,87.0552
2005-11-18,87.1329
2005-11-21,86.8938
2005-11-22,86.8088
2005-11-23,86.4063
2005-11-24,86.4063
2005-11-25,86.6913
2005-11-28,86.2918
2005-11-29,86.4249
2005-11-30,86.3872
2005-12-01,86.7929
2005-12-02,86.6507
2005-12-05,86.2089
2005-12-06,86.1865
2005-12-07,86.4692
2005-12-08,85.9747
2005-12-09,86.0268
2005-12-12,85.2824
2005-12-13,85.4877
2005-12-14,84.7276
2005-12-15,85.0884
2005-12-16,84.7997
2005-12-19,85.0724
2005-12-20,85.9264
2005-12-21,86.032
2005-12-22,85.6853
2005-12-23,85.75
2005-12-26,85.75
2005-12-27,86.0486
2005-12-28,85.8525
2005-12-29,85.9587
2005-12-30,86.0274
2006-01-02,86.0274
2006-01-03,85.0983
2006-01-04,84.5642
2006-01-05,84.7247
2006-01-06,84.3844
2006-01-09,84.7624
2006-01-10,84.6375
2006-01-11,84.2183
2006-01-12,84.6642
2006-01-13,84.4212
2006-01-16,84.4212
2006-01-17,84.8025
2006-01-18,84.9122
2006-01-19,84.6719
2006-01-20,84.42
2006-01-23,83.694
2006-01-24,83.7148
2006-01-25,83.8183
2006-01-26,84.0222
2006-01-27,84.3792
2006-01-30,84.5066
2006-01-31,84.1424
2006-02-01,84.3938
2006-02-02,84.4933
2006-02-03,84.9823
2006-02-06,85.1821
2006-02-07,85.1312
2006-02-08,85.4587
2006-02-09,85.1891
2006-02-10,85.3636
2006-02-13,85.4324
2006-02-14,85.4713
2006-02-15,85.5264
2006-02-16,85.6554
2006-02-17,85.5073
2006-02-20,85.5073
2006-02-21,85.389
2006-02-22,85.4252
2006-02-23,85.1939
2006-02-24,85.3479
2006-02-27,85.0832
2006-02-28,84.718
2006-03-01,84.843
2006-03-02,84.4197
2006-03-03,84.4586
2006-03-06,84.798
2006-03-07,85.3908
2006-03-08,85.584
2006-03-09,85.606
2006-03-10,85.9371
2006-03-13,85.7696
2006-03-14,85.0693
2006-03-15,85.0234
2006-03-16,84.6519
2006-03-17,84.4745
2006-03-20,84.7113
2006-03-21,85.208
2006-03-22,85.0809
2006-03-23,85.5892
2006-03-24,85.4613
2006-03-27,85.4083
2006-03-28,85.3209
2006-03-29,85.6767
2006-03-30,85.0614
2006-03-31,85.1759
2006-04-03,85.3664
