date,xlk_vs_spy,xly_vs_spy,xlu_vs_spy
2023-05-19,37.61884286465052,36.20228369404233,15.792365391046772
2023-05-22,37.675207144392175,36.07535996561523,15.790730437689533
2023-05-23,37.54014827694462,36.15156125479968,15.914414740756843
2023-05-24,37.53679242988154,36.28159283855118,15.9259529543409
2023-05-25,38.642228385385266,35.80851320390691,15.576992644398894
2023-05-26,39.23146516832532,36.18161039950479,15.377839150516643
2023-05-30,39.425960302727404,36.41058593935932,15.31248512542244
2023-05-31,39.31554385545052,36.283355271030274,15.539069043915282
2023-06-01,39.34142525247736,36.36622255938552,15.279028969702718
2023-06-02,39.002617311647036,36.68910076649841,15.217797719199853
2023-06-05,38.85272769843128,36.86958557714821,15.31959728400843
2023-06-06,38.758965493072914,37.17262808681635,15.274630282924093
2023-06-07,38.312038448013126,37.0484116750674,15.58785605438987
2023-06-08,38.494162608067484,37.37095984899681,15.56171789434437
2023-06-09,38.615957199348685,37.49709234705745,15.443126308443825
2023-06-12,39.10096818810512,37.79852466574458,15.276625172890732
2023-06-13,39.08074932441716,37.94027389731141,15.174277469885036
2023-06-14,39.43684523537216,37.86769751589734,15.147079006358934
2023-06-15,39.455490284681424,37.64798915499322,15.124265702666062
2023-06-16,39.40973012333318,37.86010103308606,15.314249305966413
2023-06-20,39.265291184409165,38.26570291413148,15.092181710050781
2023-06-21,38.88352416425254,38.00064376695636,15.291764381293973
2023-06-22,39.05981535360014,38.34734599436439,15.119928523974249
2023-06-23,38.930310934650635,38.19163915883752,15.01119549410217
2023-06-26,38.809567958464676,37.85694418690896,15.221119970331912
2023-06-27,39.14528738794507,38.25114061031249,15.060641492995849
2023-06-28,39.148468113384816,38.38309768784803,14.830770640940443
2023-06-29,39.063248955741706,38.27349295838944,14.772545707698978
2023-06-30,39.2212597004151,38.30761595379896,14.762678216928352
2023-07-03,39.092814168863654,38.725523333108,14.85612564501228
2023-07-05,38.90957506826439,38.79899803669352,15.047502990093204
2023-07-06,39.11204112268571,38.47518537051358,14.982031569849429
