date,close,volume,volume_ma20
2024-01-19,482.43,110834473.0,83857967.75
2024-01-22,483.45,75844830.0,82504161.3
2024-01-23,484.86,49945283.0,80668052.2
2024-01-24,485.39,81765029.0,81398287.05
2024-01-25,488.03,72524989.0,82255188.9
2024-01-26,487.41,76641554.0,82687251.05
2024-01-29,491.27,61322749.0,81895483.05
2024-01-30,490.89,58618384.0,78712247.95
2024-01-31,482.88,126011062.0,78862411.65
2024-02-01,489.2,91891635.0,78277700.15
2024-02-02,494.35,99228191.0,79027504.15
2024-02-05,492.55,75757102.0,78509415.3
2024-02-06,493.98,55918562.0,77561390.95
2024-02-07,498.1,70556506.0,77792644.3
2024-02-08,498.32,52343597.0,77044292.15
2024-02-09,501.2,63979375.0,76346228.0
2024-02-12,500.98,56502087.0,76270013.25
2024-02-13,494.08,113099199.0,77674229.7
2024-02-14,498.57,68387826.0,77651434.05
2024-02-15,502.01,61682960.0,76142769.65
2024-02-16,499.51,75532928.0,74377692.4
2024-02-20,496.76,71736740.0,74172287.9
2024-02-21,497.21,59603771.0,74655212.3
2024-02-22,507.5,76402535.0,74387087.6
2024-02-23,507.85,61321818.0,73826929.05
2024-02-26,505.99,50386676.0,72514185.15
2024-02-27,506.93,48854485.0,71890771.95
2024-02-28,506.26,56506599.0,71785182.7
2024-02-29,508.08,83924770.0,69680868.1
2024-03-01,512.85,76844765.0,68928524.6
2024-03-04,512.3,49799109.0,66457070.5
2024-03-05,507.18,72855623.0,66311996.55
2024-03-06,509.75,68382367.0,66935186.8
2024-03-07,514.81,58652085.0,66339965.75
2024-03-08,511.72,86532535.0,68049412.65
2024-03-11,511.28,62557167.0,67978302.25
2024-03-12,516.78,73114439.0,68808919.85
2024-03-13,515.97,55104062.0,65909163.0
2024-03-14,514.95,110171724.0,67998357.9
2024-03-15,509.83,107646263.0,70296523.05
2024-03-18,512.86,88893331.0,70964543.2
2024-03-19,515.71,60755236.0,70415468.0
2024-03-20,520.48,69594537.0,70915006.3
2024-03-21,522.2,60256042.0,70107681.65
